key,customer,order,amount,date,type,created_at,modified_at,payments mth/yr,modified_by,deleted
834d7727,#N/A,#N/A,,4/3/2022,cash,3/25/2024 10:27,3/25/2024 10:27,,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
684a9565,#N/A,#N/A,350,4/3/2022,cash,3/25/2024 10:27,3/25/2024 10:27,,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
651c520d,customer/z7XgzqepFRBm9BXhLRIG,order/uHXpagw57wET6DHMY0pB,"GHC 3,000",12/09/23,cash,3/25/2024 10:27 AM,3/25/2024 10:27 AM,"Dec, 2023",users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
,#N/A,#N/A,,,,3/25/2024 10:27,3/25/2024 10:27,,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
f312346c,customer/Cg5FVdCFrlJ3XGWkISYS,order/K1pig73Gxeg6OIVgzngB,"GHC 2,800",27/02/2023,pos,3/25/2024 10:27 AM,3/25/2024 10:27 AM,27/02/2023,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
7b4d5405,customer/jUD2KX6cIPCQo0PeANaA,order/PILd9348W1II3if6d0Xy,"GHC 2,800",20/04/2023,momo,3/25/2024 10:27 AM,3/25/2024 10:27 AM,20/04/2023,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
abf51b4e,customer/RvefsQaqu0M2aMFsDysq,order/iSOIHndb8ezs73YLxspF,"GHC 2,800",28/12/2023,momo,3/25/2024 10:27 AM,3/25/2024 10:27 AM,28/12/2023,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
761873a1,customer/nRcSQUcoEMbRLvp38ufV,order/Vh48QSkl8cHOZzzIAOlO,"GHC 2,700",16/10/2023,pos,3/25/2024 10:27 AM,3/25/2024 10:27 AM,16/10/2023,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
ea6cc70f,#N/A,#N/A,500,7/3/2022,momo,3/25/2024 10:27,3/25/2024 10:27,,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
ebcaf2a1,#N/A,#N/A,500,7/3/2022,momo,3/25/2024 10:27,3/25/2024 10:27,,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
2f4ea052,customer/3DphQugOboP2hjFsEk1N,order/ZdfLU0OwkghTJ2BDCEC8,"GHC 2,660",20/07/2022,momo,3/25/2024 10:27 AM,3/25/2024 10:27 AM,20/07/2022,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
7282411f,customer/lK5lXiXNrdPA1Wa490B5,order/iVLOKqHro5n3kpAg2cmH,"GHC 2,625",28/06/2023,momo,3/25/2024 10:27 AM,3/25/2024 10:27 AM,28/06/2023,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
,#N/A,#N/A,,,,3/25/2024 10:27,3/25/2024 10:27,,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
ecf42605,customer/VWibFwPWve03hJHzlvjn,#N/A,500,10/3/2022,momo,3/25/2024 10:27,3/25/2024 10:27,,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
,#N/A,#N/A,,,,3/25/2024 10:27,3/25/2024 10:27,,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
319948bd,customer/cQQDGFCjvUvtEzsXRSeU,order/SECCDi8FnzbpZowr1Jzl,"GHC 2,600",09/10/23,cash,3/25/2024 10:27 AM,3/25/2024 10:27 AM,"Sep, 2023",users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
30219075,customer/bK4lgZTHZTvWBz7pWXIy,order/paSOwobe2cKIkYxpsJYZ,"GHC 2,550",12/02/24,cash,3/25/2024 10:27 AM,3/25/2024 10:27 AM,"Dec, 2024",users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
60f7e6a7,customer/Pns6Vvq0EPnGgQS5VKO5,order/EpAHJt6lWQp2nLpt0hdF,"GHC 2,500",22/02/2022,momo,3/25/2024 10:27 AM,3/25/2024 10:27 AM,22/02/2022,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
c2e6aba0,#N/A,#N/A,650,10/3/2022,momo,3/25/2024 10:27,3/25/2024 10:27,,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
3adde64c,customer/LzXjzR0gfwPh6m4Yy42e,order/vbriG26Q7TJNCtOXIBKC,"GHC 2,400",15/11/2022,cash,3/25/2024 10:27 AM,3/25/2024 10:27 AM,15/11/2022,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
c736ab72,customer/nht9TTlunUP6vrQfRtTI,order/mFX6qMP09yuqZA0kkteQ,"GHC 2,400",20/02/2023,pos,3/25/2024 10:27 AM,3/25/2024 10:27 AM,20/02/2023,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
,#N/A,#N/A,,,,3/25/2024 10:27,3/25/2024 10:27,,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
8addccff,customer/wzo14bQsTAQ8yqjvTyo6,order/cEFX4JB517FGhqmp8Zzb,"GHC 2,400",01/06/23,cash,3/25/2024 10:27 AM,3/25/2024 10:27 AM,"Jan, 2023",users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
d5e756a3,customer/Rbh2aM9tkxaRGSCzSC5m,order/xH4Si3FprduSBF1v8qEj,"GHC 2,400",28/11/2023,momo,3/25/2024 10:27 AM,3/25/2024 10:27 AM,28/11/2023,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
a90984df,customer/bn7pIuTkY42p5P3D8tZj,order/jrIm4Id8jjihrWHCYmD7,"GHC 2,400",18/12/2023,cash,3/25/2024 10:27 AM,3/25/2024 10:27 AM,18/12/2023,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
550ea191,#N/A,#N/A,600,11/3/2022,momo,3/25/2024 10:27,3/25/2024 10:27,,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
5ae0a213,customer/5OKQ7XrEUantHQYlssvK,order/DKV1H1pcHfvmIIOjju8U,"GHC 2,400",28/12/2023,pos,3/25/2024 10:27 AM,3/25/2024 10:27 AM,28/12/2023,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
04d49207,customer/6DYIkhCtgjPS5PnGtVhb,order/6GSSSIkRMQBQaBnH2qEa,"GHC 2,400",05/01/24,pos,3/25/2024 10:27 AM,3/25/2024 10:27 AM,"May, 2024",users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
aa3c17f3,customer/Iyg7eHroS4jcGA3gXQgy,order/to07X3fjUK7AYWmvKlHp,"GHC 2,400",25/01/2024,momo,3/25/2024 10:27 AM,3/25/2024 10:27 AM,25/01/2024,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
cd3fd02e,customer/9x7qJHYIZwjy93e2T28a,order/eLl24ZbptCNqh52gN7aI,"GHC 2,400",05/02/24,Cheque,3/25/2024 10:27 AM,3/25/2024 10:27 AM,"May, 2024",users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
,#N/A,#N/A,,,,3/25/2024 10:27,3/25/2024 10:27,,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
5e3672a1,customer/CbOwWQBXkihywfVixaiG,order/mU6dMV3CImJnBHNfz6VK,"GHC 2,400",26/02/2024,Transfer,3/25/2024 10:27 AM,3/25/2024 10:27 AM,26/02/2024,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
029c0113,customer/QBRa1z5dJR6x7jRRbIRL,order/Du0b8WGJCd4MpktQqeW1,"GHC 2,400",27/02/2024,momo,3/25/2024 10:27 AM,3/25/2024 10:27 AM,27/02/2024,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
286abd34,customer/qiieAJnRtGLagTk7ZWnc,order/lGsbGxUIU4V0a21edQwv,"GHC 2,300",26/01/2024,cash,3/25/2024 10:27 AM,3/25/2024 10:27 AM,26/01/2024,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
c21054db,customer/MazptdYQEY5zdv59OyKn,order/9pms3XlYPApO1X6IObdI,"GHC 2,300",26/01/2024,cash,3/25/2024 10:27 AM,3/25/2024 10:27 AM,26/01/2024,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
47ed7234,customer/nDJPeW6ifUwwMeBiYPIq,order/I6Xkk7aJzR0G1APBJkCO,"GHC 2,250",22/02/2023,momo,3/25/2024 10:27 AM,3/25/2024 10:27 AM,22/02/2023,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
cebc0e86,customer/s48QrCnG1koxxsIMQB9p,order/IB9LVAwwedum8gCzMfcy,"GHC 2,250",01/06/23,Cheque,3/25/2024 10:27 AM,3/25/2024 10:27 AM,"Jan, 2023",users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
8b642c5a,customer/c3wTiEvyx7vtmMDqVOxy,order/fpUJALk5kI24OBCCp5wy,"GHC 2,250",08/04/23,momo,3/25/2024 10:27 AM,3/25/2024 10:27 AM,"Aug, 2023",users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
1cb66c4a,customer/YdE8i4ragAra4yUPcX3v,order/dhyptc3uYN18vT4iOcR6,"GHC 2,250",12/07/23,momo,3/25/2024 10:27 AM,3/25/2024 10:27 AM,"Dec, 2023",users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
c09bb5e0,customer/5mRFUOw5uoZlnh0LLpy0,order/hfSeMSRU0XjRvZUKQjky,,21/03/2022,momo,3/25/2024 10:27,3/25/2024 10:27,,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
,#N/A,#N/A,,,,3/25/2024 10:27,3/25/2024 10:27,,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
3652b122,customer/5e1AhzQfEupLspJhMgAh,order/MIoCHdIdngfkoGJ3u7gy,"GHC 2,250",14/09/2023,pos,3/25/2024 10:27 AM,3/25/2024 10:27 AM,14/09/2023,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
7f91d7a7,customer/rkCWPs41xTP0YSfVoRhC,order/u6bwTBR2BgB4e6SzaKSp,"GHC 2,250",20/12/2023,pos,3/25/2024 10:27 AM,3/25/2024 10:27 AM,20/12/2023,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
217a24a8,customer/c3wTiEvyx7vtmMDqVOxy,#N/A,1700,22/03/2022,cash,3/25/2024 10:27,3/25/2024 10:27,,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
214de761,customer/z5QjEv8WoRqPZQyvmlEp,order/OhM8K1WVWF23NmR1bGx8,"GHC 2,200",01/02/23,cash,3/25/2024 10:27 AM,3/25/2024 10:27 AM,"Jan, 2023",users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
c7e2196f,customer/rLMG9maueK992uQ6Ukcw,order/0nGtCRIUA93cffuYJgDO,"GHC 2,200",12/12/23,momo,3/25/2024 10:27 AM,3/25/2024 10:27 AM,"Dec, 2023",users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
4f05dd2a,customer/4XBNb9FQYhQWGQwbX03a,order/HpJ5SiAbum5hkRaj7rzm,"GHC 2,100",07/02/24,Cheque,3/25/2024 10:27 AM,3/25/2024 10:27 AM,"Jul, 2024",users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
a4e7ea57,customer/uNjDp4ZGPiMBqg4L7wSQ,order/ehIOjmvHZSHaLHygogA5,"GHC 2,040",30/11/2022,momo,3/25/2024 10:27 AM,3/25/2024 10:27 AM,30/11/2022,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
6582b628,customer/aKwulUA5A8pu9gCmeXuw,order/NA9ItMc5gkolGImqzq6c,"GHC 2,000",10/03/22,cash,3/25/2024 10:27 AM,3/25/2024 10:27 AM,"Oct, 2022",users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
56c9bba3,#N/A,#N/A,880,22/03/2022,momo,3/25/2024 10:27,3/25/2024 10:27,,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
3bbb6881,customer/PNTx6ipzahXAKgW5GBjD,order/66K7uU2jYPMdsdW9s9jL,"GHC 2,000",13/05/2022,cash,3/25/2024 10:27 AM,3/25/2024 10:27 AM,13/05/2022,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
07ec5568,customer/6Et8dawg0oJdWTkESXXY,order/re6MNspWlu71wNmIU7Iv,"GHC 2,000",18/07/2022,momo,3/25/2024 10:27 AM,3/25/2024 10:27 AM,18/07/2022,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
ada8ed05,customer/vNO4qMurvDY7assCC2xN,order/PJb8darn4fJBenAw6jr4,"GHC 2,000",23/08/2022,momo,3/25/2024 10:27 AM,3/25/2024 10:27 AM,23/08/2022,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
b0bd1e14,customer/GoaardOv45yWbNwqR0lK,order/4RvD8BBnIEa7aPAyizmJ,"GHC 2,000",09/12/22,momo,3/25/2024 10:27 AM,3/25/2024 10:27 AM,"Sep, 2022",users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
64bda19e,customer/HsRv5iM84mff0NmotBwL,order/Jcm0h01FAU8eVNHO55av,"GHC 2,000",29/11/2022,cash,3/25/2024 10:27 AM,3/25/2024 10:27 AM,29/11/2022,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
,#N/A,#N/A,,,,3/25/2024 10:27,3/25/2024 10:27,,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
a2a0f8ea,customer/cubrGXqzpGLcwh645Rl3,order/56xVmiqBDO4cFAmTWNzZ,"GHC 2,000",18/08/2023,momo,3/25/2024 10:27 AM,3/25/2024 10:27 AM,18/08/2023,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
157fe928,customer/0Xqx3k7DlGMwzLtROx9T,order/ZVuEoZA5ZzNcGuwe9Mwx,"GHC 2,000",02/10/23,cash,3/25/2024 10:27 AM,3/25/2024 10:27 AM,"Feb, 2023",users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
4acd445c,customer/efv5nZWB1GbvMdYHYBap,#N/A,500,25/03/2022,momo,3/25/2024 10:27,3/25/2024 10:27,,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
a88a5676,customer/kjr0d8qQbYkEn5KaPJ2u,order/W89ycbmYgNErPmEJVIBB,"GHC 2,000",01/09/23,momo,3/25/2024 10:27 AM,3/25/2024 10:27 AM,"Jan, 2023",users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
dd10de9c,customer/m74mL6hgp7S5Lhfnf3FH,order/PGeDEwI0TOBYWDV2JbnU,"GHC 2,000",02/11/23,cash,3/25/2024 10:27 AM,3/25/2024 10:27 AM,"Feb, 2023",users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
3da1fcad,customer/VWibFwPWve03hJHzlvjn,order/Wug3PB02FBXQbZMYOnSA,"GHC 2,000",04/12/23,momo,3/25/2024 10:27 AM,3/25/2024 10:27 AM,"Apr, 2023",users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
619c2fd2,#N/A,#N/A,500,31/03/2022,cash,3/25/2024 10:27,3/25/2024 10:27,,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
d7a8323c,customer/RvefsQaqu0M2aMFsDysq,order/iSOIHndb8ezs73YLxspF,"GHC 2,000",24/11/2023,momo,3/25/2024 10:27 AM,3/25/2024 10:27 AM,24/11/2023,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
57a497cc,customer/P0Hk57vfMSJBgSY4bgtI,order/Ad1DVJ9L1ZNEpjKqIzof,"GHC 2,000",18/01/2024,pos,3/25/2024 10:27 AM,3/25/2024 10:27 AM,18/01/2024,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
4f69c833,customer/0wjiZnDBAxzDemQb7p3t,order/us5wPdrgKfYzT6tEpuwT,"GHC 2,000",04/01/24,cash,3/25/2024 10:27 AM,3/25/2024 10:27 AM,"Apr, 2024",users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
96b5963f,customer/AVXYOfgo6yAY0FAF91X9,order/tGvvrnLDRb7Cy8z22LBM,"GHC 2,000",12/01/24,cash,3/25/2024 10:27 AM,3/25/2024 10:27 AM,"Dec, 2024",users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
bd524904,customer/oiuWxhl1LzwLCaI0eYSR,order/eekqXZKI31he2HLVZG2e,"GHC 2,000",05/02/24,cash,3/25/2024 10:27 AM,3/25/2024 10:27 AM,"May, 2024",users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
968a1a3d,customer/Knt1uy61Fsato0LS0BBT,order/tTvxbialgVNl7jdbjAJp,"GHC 1,875",22/02/2023,momo,3/25/2024 10:27 AM,3/25/2024 10:27 AM,22/02/2023,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
27132eb7,customer/Sltlg4UwwEgawVaunSMO,order/DQp1ryXYS2H58e8G1mEp,"GHC 1,875",28/04/2023,momo,3/25/2024 10:27 AM,3/25/2024 10:27 AM,28/04/2023,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
a021b496,customer/cubrGXqzpGLcwh645Rl3,order/nlwNhGgmuOpc4dYLWxGt,"GHC 1,875",10/05/23,momo,3/25/2024 10:27 AM,3/25/2024 10:27 AM,"Oct, 2023",users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
8901c570,customer/aKFX7MXe278ObHYQUDuK,order/7vTqshVtfEN3g9zGwU2x,"GHC 1,860",19/04/2022,cash,3/25/2024 10:27 AM,3/25/2024 10:27 AM,19/04/2022,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
56a3590d,customer/mgk395j3YEtDgVgphPBY,order/ZwGb4xhiacsZ4wHzJDZJ,"GHC 1,850",28/12/2023,pos,3/25/2024 10:27 AM,3/25/2024 10:27 AM,28/12/2023,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
ebb60ff0,customer/uNjDp4ZGPiMBqg4L7wSQ,order/9Wy3st94DncKm5EQ0qo8,"GHC 1,800",16/08/2022,momo,3/25/2024 10:27 AM,3/25/2024 10:27 AM,16/08/2022,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
66cb2e1d,customer/E3CZOqufrwDwtBlpxrlp,order/aVr0yC27xKXa1Q7e5yhl,"GHC 1,800",19/01/2023,momo,3/25/2024 10:27 AM,3/25/2024 10:27 AM,19/01/2023,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
,#N/A,#N/A,,,,3/25/2024 10:27,3/25/2024 10:27,,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
a65a8db8,customer/1boZnovdoV4YLfNliqKs,order/yfzkrAvD7d3RrZri6DmH,"GHC 1,800",17/01/2023,momo,3/25/2024 10:27 AM,3/25/2024 10:27 AM,17/01/2023,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
1b119f8c,customer/kiyjS4mh0QQ0qf238iwN,order/i3fhiRuJCsqY4b484lx6,"GHC 1,800",20/10/2023,cash,3/25/2024 10:27 AM,3/25/2024 10:27 AM,20/10/2023,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
397c712a,customer/6DYIkhCtgjPS5PnGtVhb,order/6GSSSIkRMQBQaBnH2qEa,"GHC 1,800",03/01/24,cash,3/25/2024 10:27 AM,3/25/2024 10:27 AM,"Mar, 2024",users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
f8e52410,customer/hmI5YA7nASvAQPp3oUpY,order/rf3QDj2A5c9C6kgMMmGe,"GHC 1,800",19/01/2024,momo pay,3/25/2024 10:27 AM,3/25/2024 10:27 AM,19/01/2024,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
190485f7,customer/Q8K5frYJ6pudEITtj3jt,order/Ac9cel46ao7gur6L66CM,"GHC 1,800",05/02/24,Cheque,3/25/2024 10:27 AM,3/25/2024 10:27 AM,"May, 2024",users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
